Product_Name,Review_Title,Review_Description,Customer_Name,Review_Date,Product_Image_URL
تي في ستيك مي بنظام تشغيل أندرويد بكروم كاست مدمج - بدقة كاملة الوضوح 1080p (طراز MDZ-24) أسود,منتج رهيب ❤️♥️♥️,من أفضل المنتجات اللي اشتريتها ♥️♥️♥️,كوبون ‎نون ‎الخليج ‎ZXX28 ‎كوبون ‎نون ‎مصر ‎ZM50 ‏.,"أغسطس 31, 2023",https://f.nooncdn.com/p/v1668527232/N39265265A_1.jpg?width=320
تي في ستيك مي بنظام تشغيل أندرويد بكروم كاست مدمج - بدقة كاملة الوضوح 1080p (طراز MDZ-24) أسود,رهييييب,"الجهاز قوي مره ويعتمد عليه كجهاز اساسي دائم ويعتمد عليه لسنوات طويله واشوفه الافضل من منافسينه ويعتبر الاقل سعرًا ، يجي 2 رام و 8 روم  وتقدر تزيد الذاكرة عن طريق ذاكره خارجية. وطبعاً اقوى من الستيك من ناحية السرعه والجوده والنظام ،وطبعاً يجي بنظام Google tv ،بعكس الستيك تجي اندرويد الفرق بينهم باختصار : النظامين مره يتشابهون ولكن قوقل تيفي واجهته اسهل ونظامه خفيف وسلس وسريع اكثر من
 ...المزيد
الاندرويد ومايعيبه شي . ريموت الجهاز يجي بلوتوث يعني مايحتاج توجه الريموت على الرسيفر عشان تتحكم ، انا حاط الجهاز مخفي ورا التلفزيون واتحكم من الريموت وكأنه ريموت التلفزيون الاساسي ، شريته بـ167﷼ واتمنى مايزيد سعره ، سعره بالاماكن الثانية مايقل عن 200 ويوصل اكثر من 300  
منافسينه : جهاز قوقل كروم كاست او قوقل ستريمر ، جهاز ابل تيفي، جهاز MECOOL",Anonymous,"ديسمبر 3, 2024",https://f.nooncdn.com/p/v1668527232/N39265265A_1.jpg?width=320
تي في ستيك مي بنظام تشغيل أندرويد بكروم كاست مدمج - بدقة كاملة الوضوح 1080p (طراز MDZ-24) أسود,Mi TV Stick 4K - تجربة بث لائقة,"1. تم تسليم المنتج كما هو موضح، فهو يحتوي على عصا تلفزيون وكابل HMDI وكابل طاقة Micro USB ومحول طاقة وجهاز تحكم عن بعد وبعض الكتيبات. 
2. كانت جودة المواد مبررة مقابل المال، وكانت جودة جهاز التحكم عن بعد جيدة بما يكفي أيضًا. 
3. ما عليك سوى توصيله بالتلفزيون والاتصال بشبكة WiFi وتحديث أحدث إصدار.
 ...المزيد

4. كان البرنامج وواجهة المستخدم جيدين، ولم يكونا بطيئين أو متقطعين كما كانا سهلي الاستخدام أيضًا. 
5. إذا كان الإنترنت لديك سريعًا، فمن المؤكد أن المنتج سيبذل قصارى جهده لمنحنا أفضل تجربة 
6. لا توجد مشاكل تتعلق بالحرارة حتى الآن، وكانت جودة مقاطع الفيديو التي يتم تشغيلها أفضل بالتأكيد من جودة إخراج التلفزيون الأصلي. 
الخلاصة: إذا كان هذا هو جهاز البث الأول لديك، فمن المؤكد أنه يستحق التجربة، ولن يخيب ظنك. 
تحياتي..!!!",Muralidharan S.,"مارس 3, 2025",https://f.nooncdn.com/p/v1668527232/N39265265A_1.jpg?width=320
تي في ستيك مي بنظام تشغيل أندرويد بكروم كاست مدمج - بدقة كاملة الوضوح 1080p (طراز MDZ-24) أسود,مررره سلس وعملي,"بصراحه انا كان عندي شاومي الصغير اللي كنه فلاش وكان يعلق مره ويطفي نفسه ويرجع يشتغل وكانت جودته HD فقط يعني مو مره ومع الوقت صار شبه بطيئ المهم قررت اشتري شي نفسه وقريت التعليقات في هذا المنتج وشفت كثير يمدحونه هذا غير ان المنتج (مي بوكس) مطور يعني افضل من الجهاز اللي نفس شكله ( عليه علامه in ) اخذته من هذا البائع لنه مسوي عليه خصم جامد اخذته ب ١٧٥ ريال اغلب العروض الباقيه لنفس
 ...المزيد
الجهاز فوق ال٢٠٠  
صراحه فرق معي ع طول في الجوده اول م استخدمته الجوده 4k وضوووح عالي 
مره سريع نظام الجاهز  
م يعلق  
والمنتج حق كرف سنين صراحه مراح تندم انك دفعت فيه",العنود ا.,"أبريل 3, 2024",https://f.nooncdn.com/p/v1668527232/N39265265A_1.jpg?width=320
تي في ستيك مي بنظام تشغيل أندرويد بكروم كاست مدمج - بدقة كاملة الوضوح 1080p (طراز MDZ-24) أسود,منتج رائع وعملي للي ما عندهم تلفزيون ذكي ,"صراحه جدا ممتاز وعملي يشغل كل التطبيقات الموجوده على التلفزيون الذكي وممكن كمان تحمل تطبيقات خارجه تتفرج عليه كل القنوات ، وممكن تعرض جوالك على الشاشه لو حابب لو جوالك سامسونج اما لو ايفون في تطبيق تحمله من متجر قوقل ويقدر يعرض حوالك في الشاشه وتتفرج عليه كل شي ،  
المشكله في انه يسخن ولمن يسخن يعلق لو مافيه تهويه كويسه بذات لو شابك الجهاز
 ...المزيد
بال HDMI مباشرة ورا التلفزيون ، فالافضل انك تركب الجهاز بالمشترك حق HDMI الي يجي معاه بنفس الكرتون والمشترك تركبه في الشاشه وتحط الجهاز في مكان فيه تهويه علشان ما يسخن ويعلق معاك  
اتمنى اكون فدتكم وشكرا",محمد ج.,"سبتمبر 7, 2024",https://f.nooncdn.com/p/v1668527232/N39265265A_1.jpg?width=320
تي في ستيك مي بنظام تشغيل أندرويد بكروم كاست مدمج - بدقة كاملة الوضوح 1080p (طراز MDZ-24) أسود,كويس جدًا ، قيمة مقابل سعره،,"الاندرويد بتاعه بسيط لاكن كافي للاستخدام الطبيعي بتاع نتفلكس او سبوتيفاي او الحاجات الي زيهم . 
مشكلته بس انه في الصيف ممكن يسخن شويه اسرع عشان الحر لاكن ده طبيعي  وبرضه اوقات بيعلق علي الHDMI لازم اديله وقته شويه لحد ما يبروسيس علي الhdmi ويشتغل لاكن برضه مش عيب قاتل قادره اتعامل معاه عادي ، انا مكملتش اسبوعين عشان اقدر ادي
 ...المزيد
الريفيو الكامل لاكن في المده دي كنت بستخدمه علي طول وقت كويس حوالي ساعتين متواصلين او يمكن اكتر وكان راضيني جدًا حتي لما بيسخن  .",Salma A.,"يونيو 14, 2025",https://f.nooncdn.com/p/v1668527232/N39265265A_1.jpg?width=320
تي في ستيك مي بنظام تشغيل أندرويد بكروم كاست مدمج - بدقة كاملة الوضوح 1080p (طراز MDZ-24) أسود,المنتج شرعي,من الجيد أن يأتي مع كابل HDMI الخاص به نظرًا لأن الوصول إلى HDMI الخاص بتلفزيوناتنا غير متاح باستخدام عصا USB. من السهل جدًا توصيله. لقد جربته اليوم وآمل أن يعمل لفترة طويلة ولن يسبب لي أي مشاكل في المستقبل. تم توصيله عبر التلفزيون وحاولت توصيله بجهاز Android الخاص بي أيضًا. بشكل عام، إنه منتج شرعي وسهل التثبيت.,Cherry V.,"مارس 11, 2025",https://f.nooncdn.com/p/v1668527232/N39265265A_1.jpg?width=320
تي في ستيك مي بنظام تشغيل أندرويد بكروم كاست مدمج - بدقة كاملة الوضوح 1080p (طراز MDZ-24) أسود,جهاز رائع و سهل الاستخدام,"جهاز عملي و بديل عن التلفزيون الذكي 
فيه شاهد و  stc tv و يوتيوب و نتفليكس وووو 
التقاط قوي للشبكة 
العيب ان  قفل الجهاز من الريموت لايعمل  
بالنسبه لي جربت زر القفل والي تحته واشتغل
 ...المزيد

العيب الثاني مافيك توصيل مباشر من المودم حتى يكون النت  
اقوى wifi فقط وتقدر توصل  نت من الجوال 
لاتتردد  واسال مجرب وخذ ال 4k Ultra",Bandar A.,"مارس 15, 2025",https://f.nooncdn.com/p/v1668527232/N39265265A_1.jpg?width=320
تي في ستيك مي بنظام تشغيل أندرويد بكروم كاست مدمج - بدقة كاملة الوضوح 1080p (طراز MDZ-24) أسود,جهاز رائع ,"جهاز رائع ووصل على الوقت المحدد 
ملحقات الجهاز (ريموت بدون بطاريات - قابس الكهرباء ثلاثي - كيبل HDMI) يدعم تردد WIFI 5Gh جهاز سهل الاستخدام وسريع 
سبب شرائي للجهاز هو لاستخدامه في IPTV وحل مشكلتي مع التقطيع ( السيرفر تبعي قوي جدا)
 ...المزيد

وتمت تجربة الجهاز على تلفزيون LG SMART  
الريموت متوافق مع الشاشة وبكامل خصائصه الصوت والتشغيل 
واجهت مشكله وحده فقط تثبيت البرامج من خارج المتجر 
وحلها بسيط تحويل نظام شاومي إلى اللغة الإنجليزية والمنطقه الى امريكا 
اتمنى اني افدت اللي يبحث عن الجهاز",معاذ  ا.,"مايو 11, 2024",https://f.nooncdn.com/p/v1668527232/N39265265A_1.jpg?width=320
تي في ستيك مي بنظام تشغيل أندرويد بكروم كاست مدمج - بدقة كاملة الوضوح 1080p (طراز MDZ-24) أسود,انصح بشرائه وبذمه وضمير ,"والله العضيم ما توقعته كذا وطلبته قلت اجرب لاني طلبت شاشه للاطفال وابتلشت ولكن يوم شفت عليه التعليقات بطله قلت اطلبه اجرب ولكن يشهد الله من وقت ما طلبته لين وصلني ساعه ونص بالضبط 
ولكن اللي يبي ياخذه لاطفاله والله ثم والله ثم والله اني اقولها بذمه وضمير المنتج مره مره مره بطل وشغال زي الفل",ماهر ر.,"أبريل 5, 2025",https://f.nooncdn.com/p/v1668527232/N39265265A_1.jpg?width=320
