Clean_Product_Name,Brand,Customer_Name,Review_Date,clean_title,clean_description,Sentiment
Iphone 17 Pro Max 256,Apple,Anonymous,أكتوبر 9 2025,محتالين النسخه العالميه ايفون النسخه اليابانيه,يباع الاصدار الياباني باسم الاصدار الدولي سعر الاصدار الدولي درهما اماراتيا بينما النسخه اليابانيه ارخص بكثير يخدعون الناس بتضليلهم وفرض رسوم مماثله للاصدار الدولي استطع ارجاع المنتج الخطا ايضا بلا فائده وقالوا ان احدهم سيتصل خلال ايام لكنني اضطررت لمغادره البلاد اليوم الان انا عالق الهاتف يوجد رد سبيل لاسترداد اموالي,negative
Iphone 17 Pro Max 256,Apple,Talha M.,سبتمبر 30 2025,لقد سقط الهاتف للتو الصندوق,انا متردد جدا بشان الهاتف اولا غلافه البلاستيكي مفتوحا بالفعل لذا تكن تجربه فتحه جيده امر مقبول اطلاقا وايضا سقط الهاتف علبته فجاه يحدث اشعر بخيبه امل كبيره,negative
Iphone 17 Pro Max 256,Apple,Anonymous,أكتوبر 11 2025,منتج ممتاز معلن عنه,احتاج ايفون بشريحه اتصال فعليه وبفضل اشتريته وكل شيء مثالي معلن شكرا والبائع,positive
Iphone 17 Pro Max 256,Apple,Ahmed A.,أكتوبر 5 2025,مختومه واصليه,لقد تم استلامه بنجاح مختوما واصليا اليوم يتم استرداد النقود,neutral
Iphone 17 Pro Max 256,Apple,Lucas A.,أكتوبر 8 2025,منتج اصلي استلمته اي مشاكل توصيل سريع,منتج اصلي استلمته اي مشاكل توصيل سريع,neutral
Iphone 17 Pro Max 256,Apple,Mohamed A.,سبتمبر 21 2025,رائع,موبايل ممتاز جدا اصلي يحترم الظهيره ويسلم الموعد ويحترم ابل للجوده,positive
Iphone 17 Pro Max 256,Apple,Sammar A.,أكتوبر 12 2025,تم التسليم مذكور,الجهاز المذكور الوصف,neutral
Iphone 17 Pro Max 256,Apple,Ananthu V.,سبتمبر 27 2025,البرتقالي التفاح الجديد,ترقيه رائعه جهاز الخاص,positive
Iphone 17 Pro Max 256,Apple,Syed R.,سبتمبر 28 2025,الولاده الامنه,لقد استلمت منتجي بامان وامان,positive
Galaxy A16 Space Ram,Samsung,Anonymous,أغسطس 15 2025,تجربتي الجديده هاتف,اشتريت مؤخرا هاتف سامسونج باللون الرمادي وانا غايه السعاده باختياري يمنحه اللون الرمادي الانيق مظهرا عصريا وانيقا يجعله مميزا اشعر بالراحه يدي ويعمل بسلاسه تطبيقاتي ومهامي اليوميه جوده الكاميرا رائعه واحب شاشته الزاهيه بشكل عام انه هاتف رائع قيمه رائعه وانا معجب جدا بكل انصح بشده,positive
