Clean_Product_Name,Customer_Name,Review_Date,clean_title,clean_description,text,sentiment
Iphone 17 Pro Max 256,Anonymous,أكتوبر 9 2025,محتالين النسخه العالميه ايفون النسخه اليابانيه,يباع الاصدار الياباني باسم الاصدار الدولي سعر الاصدار الدولي درهما اماراتيا بينما النسخه اليابانيه ارخص بكثير يخدعون الناس بتضليلهم وفرض رسوم مماثله للاصدار الدولي استطع ارجاع المنتج الخطا ايضا بلا فائده وقالوا ان احدهم سيتصل خلال ايام لكنني اضطررت لمغادره البلاد اليوم الان انا عالق الهاتف يوجد رد سبيل لاسترداد اموالي,محتالين النسخه العالميه ايفون النسخه اليابانيه يباع الاصدار الياباني باسم الاصدار الدولي سعر الاصدار الدولي درهما اماراتيا بينما النسخه اليابانيه ارخص بكثير يخدعون الناس بتضليلهم وفرض رسوم مماثله للاصدار الدولي استطع ارجاع المنتج الخطا ايضا بلا فائده وقالوا ان احدهم سيتصل خلال ايام لكنني اضطررت لمغادره البلاد اليوم الان انا عالق الهاتف يوجد رد سبيل لاسترداد اموالي,Negative
Iphone 17 Pro Max 256,Talha M.,سبتمبر 30 2025,لقد سقط الهاتف للتو الصندوق,انا متردد جدا بشان الهاتف اولا غلافه البلاستيكي مفتوحا بالفعل لذا تكن تجربه فتحه جيده امر مقبول اطلاقا وايضا سقط الهاتف علبته فجاه يحدث اشعر بخيبه امل كبيره,لقد سقط الهاتف للتو الصندوق انا متردد جدا بشان الهاتف اولا غلافه البلاستيكي مفتوحا بالفعل لذا تكن تجربه فتحه جيده امر مقبول اطلاقا وايضا سقط الهاتف علبته فجاه يحدث اشعر بخيبه امل كبيره,Negative
Iphone 17 Pro Max 256,Anonymous,أكتوبر 11 2025,منتج ممتاز معلن عنه,احتاج ايفون بشريحه اتصال فعليه وبفضل اشتريته وكل شيء مثالي معلن شكرا والبائع,منتج ممتاز معلن عنه احتاج ايفون بشريحه اتصال فعليه وبفضل اشتريته وكل شيء مثالي معلن شكرا والبائع,Neutral
Iphone 17 Pro Max 256,Ahmed A.,أكتوبر 5 2025,مختومه واصليه,لقد تم استلامه بنجاح مختوما واصليا اليوم يتم استرداد النقود,مختومه واصليه لقد تم استلامه بنجاح مختوما واصليا اليوم يتم استرداد النقود,Positive
Iphone 17 Pro Max 256,Lucas A.,أكتوبر 8 2025,منتج اصلي استلمته اي مشاكل توصيل سريع,منتج اصلي استلمته اي مشاكل توصيل سريع,منتج اصلي استلمته اي مشاكل توصيل سريع منتج اصلي استلمته اي مشاكل توصيل سريع,Positive
Iphone 17 Pro Max 256,Mohamed A.,سبتمبر 21 2025,رائع,موبايل ممتاز جدا اصلي يحترم الظهيره ويسلم الموعد ويحترم ابل للجوده,رائع موبايل ممتاز جدا اصلي يحترم الظهيره ويسلم الموعد ويحترم ابل للجوده,Positive
Iphone 17 Pro Max 256,Sammar A.,أكتوبر 12 2025,تم التسليم مذكور,الجهاز المذكور الوصف,تم التسليم مذكور الجهاز المذكور الوصف,Neutral
Iphone 17 Pro Max 256,Ananthu V.,سبتمبر 27 2025,البرتقالي التفاح الجديد,ترقيه رائعه جهاز الخاص,البرتقالي التفاح الجديد ترقيه رائعه جهاز الخاص,Positive
Iphone 17 Pro Max 256,Syed R.,سبتمبر 28 2025,الولاده الامنه,لقد استلمت منتجي بامان وامان,الولاده الامنه لقد استلمت منتجي بامان وامان,Positive
Galaxy A16 Space Ram,Anonymous,أغسطس 15 2025,تجربتي الجديده هاتف,اشتريت مؤخرا هاتف سامسونج باللون الرمادي وانا غايه السعاده باختياري يمنحه اللون الرمادي الانيق مظهرا عصريا وانيقا يجعله مميزا اشعر بالراحه يدي ويعمل بسلاسه تطبيقاتي ومهامي اليوميه جوده الكاميرا رائعه واحب شاشته الزاهيه بشكل عام انه هاتف رائع قيمه رائعه وانا معجب جدا بكل انصح بشده,تجربتي الجديده هاتف اشتريت مؤخرا هاتف سامسونج باللون الرمادي وانا غايه السعاده باختياري يمنحه اللون الرمادي الانيق مظهرا عصريا وانيقا يجعله مميزا اشعر بالراحه يدي ويعمل بسلاسه تطبيقاتي ومهامي اليوميه جوده الكاميرا رائعه واحب شاشته الزاهيه بشكل عام انه هاتف رائع قيمه رائعه وانا معجب جدا بكل انصح بشده,Positive
Galaxy A16 Space Ram,Anonymous,أغسطس 6 2025,الهاتف اطلبه,طلبت اصدار الشرق الاوسط لكنهم ارسلوا اخر النظره الاولي يبدو انه مزيف يكن الصندوق مغلفا بورق بلاستيكي اشارككم الصوره ايضا اريد اريد استرداد اموالي الان,الهاتف اطلبه طلبت اصدار الشرق الاوسط لكنهم ارسلوا اخر النظره الاولي يبدو انه مزيف يكن الصندوق مغلفا بورق بلاستيكي اشارككم الصوره ايضا اريد اريد استرداد اموالي الان,Negative
Galaxy S24 Ultra Titanium Ram,Anonymous,يونيو 6 2025,تم تسليم المنتج المستعمل,تنبيه وفقا لسياسه للارجاع والاسترداد يرجي عدم فتح علبه المنتج اذا رغبت ارجاعه الاطلاع علي السياسه توخيت الحذر الشديد وتواصلت خدمه عملاء سامسونج للتحقق ملصق الملصق خارج العلبه ولدهشتي اكدت سامسونج ان الهاتف مفعل بالفعل وانه مفعل بالضمان بدات فتره الضمان شهرين يشير بوضوح الي ان الهاتف مجدد معاد,تم تسليم المنتج المستعمل تنبيه وفقا لسياسه للارجاع والاسترداد يرجي عدم فتح علبه المنتج اذا رغبت ارجاعه الاطلاع علي السياسه توخيت الحذر الشديد وتواصلت خدمه عملاء سامسونج للتحقق ملصق الملصق خارج العلبه ولدهشتي اكدت سامسونج ان الهاتف مفعل بالفعل وانه مفعل بالضمان بدات فتره الضمان شهرين يشير بوضوح الي ان الهاتف مجدد معاد,Neutral
Iphone 17 Pro Max 256,Nikhil J.,أكتوبر 12 2025,اشياء شرعيه,التسليم والتفاح الكلاسيكي,اشياء شرعيه التسليم والتفاح الكلاسيكي,Neutral
