Clean_Product_Name,Brand,Customer_Name,Review_Date,clean_title,clean_description,clean_description_norm,Sentiment,Sentiment_confidence,rule_decisions,heuristic
Iphone 17 Pro Max 256,Apple,Talha M.,سبتمبر 30 2025,لقد سقط الهاتف للتو الصندوق,انا متردد جدا بشان الهاتف اولا غلافه البلاستيكي مفتوحا بالفعل لذا تكن تجربه فتحه جيده امر مقبول اطلاقا وايضا سقط الهاتف علبته فجاه يحدث اشعر بخيبه امل كبيره,انا متردد جدا بشان الهاتف اولا غلافه البلاستيكي مفتوحا بالفعل لذا تكن تجربه فتحه جيده امر مقبول اطلاقا وايضا سقط الهاتف علبته فجاه يحدث اشعر بخيبه امل كبيره,negative,0.9368544816970825,none,neutral
Iphone 17 Pro Max 256,Apple,Anonymous,أكتوبر 11 2025,منتج ممتاز معلن عنه,احتاج ايفون بشريحه اتصال فعليه وبفضل اشتريته وكل شيء مثالي معلن شكرا والبائع,احتاج ايفون بشريحه اتصال فعليه وبفضل اشتريته وكل شيء مثالي معلن شكرا والبائع,positive,0.7653445601463318,none,neutral
Iphone 17 Pro Max 256,Apple,Ahmed A.,أكتوبر 5 2025,مختومه واصليه,لقد تم استلامه بنجاح مختوما واصليا اليوم يتم استرداد النقود,لقد تم استلامه بنجاح مختوما واصليا اليوم يتم استرداد النقود,positive,0.8699377775192261,short_pos_override|mixed_positive_margin,neutral
Iphone 17 Pro Max 256,Apple,Lucas A.,أكتوبر 8 2025,منتج اصلي استلمته اي مشاكل توصيل سريع,منتج اصلي استلمته اي مشاكل توصيل سريع,منتج اصلي استلمته اي مشاكل توصيل سريع,negative,0.8977786898612976,short_pos_override|mixed_pref_negative,neutral
Iphone 17 Pro Max 256,Apple,Syed R.,سبتمبر 28 2025,الولاده الامنه,لقد استلمت منتجي بامان وامان,لقد استلمت منتجي بامان وامان,positive,0.9834988713264465,none,neutral
Galaxy S24 Ultra Titanium Ram,Samsung,Annaliza R.,مارس 27 2025,ممتاز واصلي,انا عميل لدي اربع سنوات وهذه اول مره اشتري هاتفا غاليا منهم اشتريته اليوم وترددت البدايه خوفا الا يكون اصليا لكنني كنت مخطئا انه اصلي وسريع التوصيل وصل عبوه ممتازه وتم التعامل معه بعنايه وكل شيء علي يرام البطاريه جيده جدا اخف بطاريات ايفون برو ماكس استخدمت شاحن شاومي السريع بقوه واط وشحنته دقيقه اي حراره او اي خلل استخدم ايفون لكنني معجب بهذا المزيد الهاتف انصح الجميع بشرائه تترددوا عمل رائع شكرا,انا عميل لدي اربع سنوات وهذه اول مره اشتري هاتفا غاليا منهم اشتريته اليوم وترددت البدايه خوفا الا يكون اصليا لكنني كنت مخطئا انه اصلي وسريع التوصيل وصل عبوه ممتازه وتم التعامل معه بعنايه وكل شيء علي يرام البطاريه جيده جدا اخف بطاريات ايفون برو ماكس استخدمت شاحن شاومي السريع بقوه واط وشحنته دقيقه اي حراره او اي خلل استخدم ايفون لكنني معجب بهذا المزيد الهاتف انصح الجميع بشرائه تترددوا عمل رائع شكرا,positive,0.8345567584037781,mixed_positive_margin,neutral
Galaxy S24 Ultra Titanium Ram,Samsung,Iraz M.,يوليو 12 2024,افضل هاتف ذكي علي الاطلاق,لقد قمت مؤخرا بطلب هاتف عبر الانترنت وانا معجب جدا تعد جوده تصنيع الهاتف الطراز الاول تصميم انيق يشعرك بالفخامه متناول اليد شاشه مقاس بوصه مذهله وتوفر الوانا نابضه بالحياه وتفاصيل حاده يجعلها مثاليه لاستهلاك الوسائط والالعاب ناحيه الاداء فان يخيب الامال انه مدعوم بمعالج قوي يضمن تجربه تعدد المهام والالعاب بسلاسه نظام الكاميرا المزيد استثنائي يلتقط صورا ومقاطع فيديو مفصله بميزاته المتقدمه,لقد قمت مؤخرا بطلب هاتف عبر الانترنت وانا معجب جدا تعد جوده تصنيع الهاتف الطراز الاول تصميم انيق يشعرك بالفخامه متناول اليد شاشه مقاس بوصه مذهله وتوفر الوانا نابضه بالحياه وتفاصيل حاده يجعلها مثاليه لاستهلاك الوسائط والالعاب ناحيه الاداء فان يخيب الامال انه مدعوم بمعالج قوي يضمن تجربه تعدد المهام والالعاب بسلاسه نظام الكاميرا المزيد استثنائي يلتقط صورا ومقاطع فيديو مفصله بميزاته المتقدمه,positive,0.9901086091995239,none,neutral
Iphone 17 Pro Max 256,Apple,Naser A.,سبتمبر 28 2025,صدمه يوم طلبت الجوال عندهم وطلع اغلي السعر الرسمي,صدمه يوم طلبت الجوال عندهم طلب مسبق وطلع اغلي السعر الرسمي حسيت نفسي مررره مغبون خصوصا اني شريت واخوي خليته يشتري منهم,صدمه يوم طلبت الجوال عندهم طلب مسبق وطلع اغلي السعر الرسمي حسيت نفسي مررره مغبون خصوصا اني شريت واخوي خليته يشتري منهم,negative,0.9460510015487671,none,neutral
Galaxy S24 Ultra Titanium Ram,Samsung,Anonymous,أغسطس 16 2025,فضلك حذرا,يرجي توخي الحذر فقد اشتريت هاتف سامسونج جالاكسي اس الترا البائع فيولا وعندما تواصلت دعم سامسونج الهاتف مفعلا حوالي ثلاثه اشهر لذا فتح المنتج يرجي التواصل دعم سامسونج وتزويدهم برقم للتحقق تفعيله صور فيديو وصورا اثناء فتح المنتج تبدد اموالك كسبتها بشق الانفس علي منتجات مفعله مسبقا او معاده واتخذ الاحتياطات اللازمه الشراء,يرجي توخي الحذر فقد اشتريت هاتف سامسونج جالاكسي اس الترا البائع فيولا وعندما تواصلت دعم سامسونج الهاتف مفعلا حوالي ثلاثه اشهر لذا فتح المنتج يرجي التواصل دعم سامسونج وتزويدهم برقم للتحقق تفعيله صور فيديو وصورا اثناء فتح المنتج تبدد اموالك كسبتها بشق الانفس علي منتجات مفعله مسبقا او معاده واتخذ الاحتياطات اللازمه الشراء,negative,0.7262439131736755,none,neutral
Galaxy S24 Ultra Titanium Ram,Samsung,Suraj S.,سبتمبر 10 2025,تم اكتشاف وجود رطوبه منفذ الشحن,مشكله منفذ هاتف سامسونج جالاكسي مزعجه اذ يواجه المستخدمون مشاكل الشحن حتي التعرض للماء تشمل الاسباب المحتمله تلف الكابلات او تلف المنافذ او خللا البرامج تشمل خطوات استكشاف الاخطاء واصلاحها التحقق اعدادات وتحديث برامج التشغيل واعاده تشغيل الاجهزه اذا استمرت المشاكل فننصحك بطلب مساعده متخصصه مركز خدمه معتمد سامسونج يامل المزيد المستخدمون ان تعالج سامسونج المشكله الشائعه حتي تكتمل يتم اصلاحها,مشكله منفذ هاتف سامسونج جالاكسي مزعجه اذ يواجه المستخدمون مشاكل الشحن حتي التعرض للماء تشمل الاسباب المحتمله تلف الكابلات او تلف المنافذ او خللا البرامج تشمل خطوات استكشاف الاخطاء واصلاحها التحقق اعدادات وتحديث برامج التشغيل واعاده تشغيل الاجهزه اذا استمرت المشاكل فننصحك بطلب مساعده متخصصه مركز خدمه معتمد سامسونج يامل المزيد المستخدمون ان تعالج سامسونج المشكله الشائعه حتي تكتمل يتم اصلاحها,negative,0.8995214700698853,mixed_pref_negative,neutral
